"00785B" "富邦金融投等債" "34.66" "+0.04" "34.62" "34.66" "34.62" "34.66" "102000" "3535280" "6" "34.61" "22" "34.65" "1" "845966000" "34.26" "9999.95" "0.01"
"00786B" "元大10年IG銀行債" "33.29" "+0.10" "33.21" "33.34" "33.20" "33.26" "98740" "3283736" "27" "33.31" "2" "33.34" "61" "13066000" "33.29" "9999.95" "0.01"
"00787B" "元大10年IG醫療債" "34.83" "+0.10" "34.68" "34.83" "34.68" "34.73" "14000" "486260" "4" "34.80" "48" "34.83" "44" "9306000" "34.83" "9999.95" "0.01"
"00788B" "元大10年IG電能債" "32.00" "+0.11" "31.85" "32.00" "31.85" "31.94" "198010" "6324568" "67" "31.99" "2" "32.00" "13" "15206000" "31.55" "9999.95" "0.01"
"00789B" "復華公司債A3" "52.60" "-0.10 " "52.55" "52.60" "52.50" "52.60" "511000" "26878150" "11" "52.55" "3" "52.60" "3" "141100000" "52.60" "9999.95" "0.01"
"00790B" "復華次順位金融債" "52.50" "+0.10" "52.50" "52.50" "52.50" "52.50" "100000" "5250000" "2" "52.20" "9" "52.65" "9" "2100000" "52.50" "9999.95" "0.01"
"00791B" "復華信用債1-5" "53.50" "+0.30" "53.50" "53.50" "53.50" "53.50" "102000" "5457000" "6" "53.25" "109" "53.45" "2" "253600000" "53.50" "9999.95" "0.01"
"00792B" "群益A級公司債" "33.61" "+0.04" "33.52" "33.62" "33.48" "33.58" "153451" "5152841" "87" "33.60" "2" "33.61" "49" "1392115000" "33.61" "9999.95" "0.01"
"00793B" "群益AAA-A醫療債" "33.27" "-0.03 " "33.25" "33.29" "33.25" "33.26" "111074" "3694435" "12" "33.26" "10" "33.28" "2" "3526000" "33.27" "9999.95" "0.01"
"00794B" "群益7+中國政金債" "39.36" "+0.01" "39.35" "39.36" "39.30" "39.34" "109157" "4294288" "13" "39.34" "40" "39.35" "1" "35187000" "39.36" "9999.95" "0.01"
"00795B" "中信美國公債20年" "31.88" "+0.05" "31.82" "31.91" "31.78" "31.86" "6641475" "211577716" "992" "31.87" "584" "31.88" "44" "549098000" "31.88" "9999.95" "0.01"
"00799B" "國泰A級醫療債" "33.38" "+0.16" "33.31" "33.38" "33.31" "33.37" "103020" "3437664" "6" "33.35" "4" "33.37" "1" "5036000" "33.38" "9999.95" "0.01"
"00831B" "新光美債1-3" "37.90" "+0.30" "37.90" "37.90" "37.90" "37.90" "2000" "75800" "2" "37.78" "10" "37.98" "10" "14100000" "37.90" "9999.95" "0.01"
"00834B" "第一金金融債10+" "33.84" "+0.09" "33.70" "33.84" "33.70" "33.84" "101000" "3417700" "3" "33.83" "33" "33.84" "2" "22198000" "33.84" "9999.95" "0.01"
"00836B" "永豐10年A公司債" "30.83" "-0.02 " "30.77" "30.83" "30.70" "30.74" "559120" "17185541" "16" "30.82" "102" "30.84" "7" "430041000" "30.83" "9999.95" "0.01"
"00840B" "凱基IG精選15+" "31.92" "-0.04 " "31.92" "31.92" "31.92" "31.92" "100000" "3192000" "2" "31.90" "9" "31.92" "2" "59931000" "31.92" "9999.95" "0.01"
"00841B" "凱基AAA-AA公司債" "32.00" "+0.02" "31.77" "32.00" "31.77" "31.97" "118000" "3772320" "8" "31.93" "9" "31.98" "1" "70940000" "32.00" "9999.95" "0.01"
"00842B" "台新美元銀行債" "32.31" "0.00 " "32.24" "32.33" "32.24" "32.29" "204000" "6588050" "17" "32.29" "1" "32.33" "15" "9267000" "32.31" "9999.95" "0.01"
"00844B" "新光15年IG金融債" "32.06" "+0.01" "31.94" "32.06" "31.90" "31.92" "61000" "1947210" "8" "32.01" "5" "32.08" "33" "286175000" "32.06" "9999.95" "0.01"
"00845B" "富邦新興投等債" "31.86" "+0.17" "31.86" "31.86" "31.86" "31.86" "101914" "3246833" "4" "31.79" "20" "31.84" "1" "201551000" "31.86" "9999.95" "0.01"
"00846B" "富邦歐洲銀行債" "33.41" "+0.10" "33.41" "33.41" "33.41" "33.41" "101000" "3374410" "3" "33.35" "35" "33.40" "1" "87850000" "33.41" "9999.95" "0.01"
