2941 米斯特 84.00 "0.00 " 84.00 84.00 84.00 84.00 4000 336000 2 84.00 2 90.00 6 15390000 84.00 92.40 75.60
2947 振宇五金 82.10 "-2.80 " 81.60 85.20 81.60 84.02 7067 593771 18 82.20 1 84.90 1 19268600 82.10 90.30 73.90
2948 寶陞 56.90 +0.10 57.70 57.80 56.80 57.33 20092 1151841 20 56.80 1 58.90 1 30000000 56.90 62.50 51.30
2949 欣新網 85.00 "0.00 " 86.00 86.00 85.00 85.51 7222 617566 12 84.90 1 87.00 1 24200000 85.00 93.50 76.50
3064 泰偉 91.70 "-1.90 " 91.70 91.70 88.30 90.29 5677 512569 15 88.60 1 91.00 2 13011451 91.70 100.50 82.60
3066 李洲 22.65 "0.00 " 22.65 23.05 22.50 22.73 145176 3300433 111 22.65 3 22.70 1 83070612 22.65 24.90 20.40
3067 全域 32.50 "-0.30 " 32.60 32.70 32.50 32.59 15056 490680 15 32.60 1 33.95 1 20000000 32.50 35.75 29.25
3071 協禧 30.10 +0.50 30.50 30.95 30.10 30.42 215428 6552477 167 30.05 2 30.30 9 110000000 30.10 33.10 27.10
3073 天方能源 71.60 +0.70 73.30 77.30 71.50 74.31 889556 66106290 1017 71.60 2 71.90 18 32099556 71.60 78.70 64.50
3078 僑威 64.70 +0.40 65.80 66.00 64.70 65.19 531888 34673938 642 64.70 9 64.80 4 227391064 64.70 71.10 58.30
3081 聯亞 110.00 +3.00 111.50 112.50 109.00 110.50 1618573 178855415 1352 109.50 7 110.00 12 91847677 110.00 121.00 99.00
3083 網龍 46.80 +0.55 47.65 47.70 46.35 47.01 346779 16301707 291 46.80 2 46.85 3 86486858 46.80 51.40 42.15
3085 新零售 14.20 +0.70 14.45 14.45 12.95 13.87 8045 111600 8 13.20 1 14.25 1 29019288 14.20 15.60 12.80
3086 華義 177.00 "0.00 " 180.00 183.00 174.00 178.56 776741 138697044 1877 176.50 1 177.00 3 23611299 177.00 194.50 159.50
3088 艾訊 84.00 +2.00 84.70 84.70 83.90 84.38 488232 41196175 481 83.90 8 84.00 1 102085460 84.00 92.40 75.60
3093 港建* 26.15 "-0.05 " 26.25 27.80 26.15 26.61 141938 3776481 105 26.05 5 26.15 6 145155576 26.15 28.75 23.55
3095 及成 66.00 +6.00 61.60 66.00 61.60 65.86 93749 6174034 99 66.00 27 0.00 0 10000000 66.00 72.60 59.40
3105 穩懋 122.50 +1.00 126.50 126.50 122.00 123.73 3784139 468199652 3429 122.50 21 123.00 24 423940384 122.50 134.50 110.50
3114 好德 26.20 +0.10 26.35 26.40 25.95 26.20 59020 1546381 75 26.20 5 26.30 1 65129792 26.20 28.80 23.60
3115 富榮綱 0 0 0 0 0 9.48 65 616 2 9.11 10 9.99 9 43697600 9.44 10.35 8.50
3118 進階 31.85 +0.10 31.55 32.00 31.50 31.87 50267 1602013 55 31.90 3 31.95 1 32452860 31.85 35.00 28.70
3122 笙泉 39.70 "-0.20 " 40.25 41.05 39.60 40.24 416877 16777155 318 39.65 2 39.80 3 40405722 39.70 43.65 35.75
3128 昇銳 28.20 "-0.05 " 28.65 28.90 28.05 28.56 154528 4413048 133 28.20 3 28.25 5 42000000 28.20 31.00 25.40
3131 弘塑 1690.00 +150.00 1590.00 1690.00 1590.00 1648.94 1385612 2284796210 2819 1690.00 72 0.00 0 29216015 1690.00 1855.00 1525.00
3141 晶宏 73.90 "0.00 " 75.80 76.20 73.90 74.85 332837 24914041 359 73.90 4 74.00 1 75095578 73.90 81.20 66.60
3147 大綜 119.00 +5.00 119.00 121.50 116.50 119.30 583564 69618008 478 119.00 1 119.50 10 39006099 119.00 130.50 107.50
3152 璟德 163.50 "除息 " 168.00 169.00 163.00 164.73 132467 21821864 182 163.00 8 164.00 1 69016200 163.50 179.50 147.50
3162 精確 30.15 "-0.35 " 31.20 31.55 30.15 30.63 455764 13958581 467 30.10 9 30.20 5 130443342 30.15 33.15 27.15
3163 波若威 136.50 "-3.00 " 143.00 146.00 136.50 141.71 18481961 2618988861 12887 136.50 17 137.00 13 80540741 136.50 150.00 123.00
3169 亞信 102.50 +1.50 104.00 104.00 102.00 103.04 175174 18050406 168 102.00 12 103.00 3 62926981 102.50 112.50 92.30
3171 新洲 23.30 +0.10 23.65 23.65 23.20 23.30 111122 2589535 97 23.25 12 23.30 2 71302317 23.30 25.60 21.00
3176 基亞 36.90 "-0.05 " 37.20 37.80 36.90 37.26 176522 6577710 229 36.90 11 37.00 1 139236755 36.90 40.55 33.25
3178 公準 78.10 "-1.30 " 81.50 81.90 78.10 79.77 237002 18905613 258 78.10 3 78.30 2 45050000 78.10 85.90 70.30
3188 鑫龍騰 43.10 +0.80 43.85 45.40 42.80 44.06 3177403 139988762 2087 43.10 3 43.20 4 186309876 43.10 47.40 38.80
3191 雲嘉南 18.45 "0.00 " 18.05 18.70 17.95 18.50 23138 428103 32 18.25 1 18.45 1 43597381 18.45 20.25 16.65
3202 樺晟 14.45 +0.20 14.50 15.00 14.40 14.60 690508 10082007 384 14.40 12 14.45 2 129344870 14.45 15.85 13.05
3205 佰研 38.50 +0.85 37.90 38.70 37.90 38.41 142397 5469633 145 38.45 4 38.55 2 32545631 38.50 42.35 34.65
3206 志豐 49.00 +2.30 48.10 49.50 48.00 48.67 443503 21587263 366 48.75 1 49.00 6 58916621 49.00 53.90 44.10
3207 耀勝 137.00 +3.00 138.00 141.50 136.50 138.99 450506 62614977 308 136.50 13 137.00 9 60770341 137.00 150.50 123.50
3211 順達 96.50 +1.90 96.80 98.50 96.40 97.46 1810475 176448775 1574 96.40 11 96.50 1 151997021 96.50 106.00 86.90
3213 茂訊 93.70 +1.50 96.30 96.30 92.70 94.34 399974 37734406 482 93.50 2 93.80 3 58685547 93.70 103.00 84.40
3217 優群 143.00 +2.50 145.00 146.50 142.50 144.00 732221 105440225 618 142.50 15 143.50 2 90104203 143.00 157.00 129.00
3218 大學光 235.00 +3.50 237.50 239.50 233.50 235.85 308273 72707141 1210 234.50 2 235.00 1 84724899 235.00 258.50 211.50
3219 倚強科 42.65 +0.70 43.10 44.45 42.20 43.22 129644 5603598 114 42.65 1 42.80 1 70676265 42.65 46.90 38.40
3221 台嘉碩 25.95 +0.80 26.40 26.65 25.95 26.21 314848 8251745 246 25.95 3 26.00 2 103977410 25.95 28.50 23.40
3224 三顧 40.90 +0.60 40.85 41.60 40.50 41.26 160046 6604003 102 40.85 1 41.50 2 68172648 40.90 44.95 36.85
3226 至寶電 50.60 +0.90 50.80 50.90 50.60 50.75 11066 561605 7 50.50 3 50.70 1 64430573 50.60 55.60 45.55
3227 原相 163.50 +4.00 165.00 166.00 162.00 163.51 1720907 281383251 1766 163.00 54 163.50 41 149233846 163.50 179.50 147.50
3228 金麗科 268.50 +24.00 263.00 268.50 263.00 267.50 378050 101126612 611 268.50 286 0.00 0 69826495 268.50 295.00 242.00
3230 錦明 23.15 +0.10 23.50 24.00 22.70 23.43 2025711 47454784 1225 23.10 5 23.20 9 71010900 23.15 25.45 20.85
3232 昱捷 25.15 +0.15 26.10 26.10 25.00 25.22 50115 1263743 56 25.15 9 25.25 1 46567865 25.15 27.65 22.65
3234 光環 33.95 "-0.30 " 35.60 36.00 33.90 34.57 658448 22765109 560 33.95 1 34.00 26 111474692 33.95 37.30 30.60
3236 千如 19.70 +0.25 20.00 20.05 19.60 19.82 119886 2375980 112 19.70 6 19.75 1 105000613 19.70 21.65 17.75
3252 海灣 20.50 "-0.05 " 20.40 20.55 20.40 20.49 20000 409800 16 20.45 5 20.50 2 50195754 20.50 22.55 18.45
3259 鑫創 28.50 +0.15 28.60 28.60 27.70 28.28 31000 876700 24 28.05 1 28.50 6 56965934 28.50 31.35 25.65
3260 威剛 93.10 +4.90 96.00 96.30 92.70 94.70 9713017 919778867 6107 93.00 125 93.10 16 295931448 93.10 102.00 83.80
3264 欣銓 63.90 +2.10 62.30 63.90 62.30 63.48 2180705 138430751 1137 63.80 1 63.90 40 490170076 63.90 70.20 57.60
3265 台星科 99.70 +1.50 101.50 102.00 99.70 100.71 637049 64155995 680 99.70 4 100.00 3 136261659 99.70 109.50 89.80
3268 海德威 23.90 +0.25 24.25 24.50 23.90 24.11 52175 1257853 88 23.90 3 23.95 1 34720796 23.90 26.25 21.55
3272 東碩 26.00 +0.35 26.40 26.40 25.95 26.08 67225 1752940 80 26.00 23 26.05 1 61168018 26.00 28.60 23.40
3276 宇環 15.90 +0.30 16.10 16.30 15.75 16.06 84296 1354116 74 15.85 1 16.00 6 69712666 15.90 17.45 14.35
3284 太普高 49.30 +4.45 49.30 49.30 48.80 49.28 566474 27913860 271 49.30 198 0.00 0 88841408 49.30 54.20 44.40
3285 微端 26.35 +0.40 26.50 26.95 26.05 26.29 107258 2820073 87 26.30 2 26.35 10 42735324 26.35 28.95 23.75
