"00848B" "中信新興亞洲債" "34.45" "+0.26" "34.44" "34.45" "34.44" "34.45" "102000" "3513880" "6" "34.42" "3" "34.44" "2" "146066000" "34.45" "9999.95" "0.01"
"00849B" "中信EM主權債0-5" "35.72" "+0.05" "35.71" "35.72" "35.71" "35.72" "103443" "3694972" "7" "35.69" "3" "35.71" "2" "525106000" "35.72" "9999.95" "0.01"
"00853B" "統一美債10年Aa-A" "29.34" "+0.27" "29.30" "29.35" "29.30" "29.33" "1199088" "35170199" "244" "29.33" "124" "29.34" "2" "70134000" "29.34" "9999.95" "0.01"
"00856B" "永豐1-3年美公債" "37.68" "+0.07" "37.69" "37.70" "37.68" "37.68" "121000" "4559500" "4" "37.67" "92" "37.69" "108" "9292000" "37.68" "9999.95" "0.01"
"00857B" "永豐20年美公債" "28.24" "+0.33" "28.22" "28.25" "28.20" "28.22" "1350027" "38103899" "281" "28.23" "20" "28.24" "19" "32268000" "28.24" "9999.95" "0.01"
"00858" "永豐美國500大" "25.71" "-0.07 " "25.74" "25.74" "25.70" "25.71" "190875" "4907981" "28" "25.71" "2" "25.72" "26" "6874000" "25.71" "9999.95" "0.01"
"00859B" "群益0-1年美債" "39.57" "+0.04" "39.57" "39.57" "39.57" "39.57" "100000" "3957000" "2" "39.53" "15" "39.57" "2" "28011000" "39.57" "9999.95" "0.01"
"00860B" "群益1-5年IG債" "37.44" "+0.08" "37.44" "37.47" "37.44" "37.44" "105044" "3932954" "9" "37.43" "17" "37.45" "13" "3171000" "37.44" "9999.95" "0.01"
"00862B" "中信投資級公司債" "31.95" "+0.32" "31.81" "31.98" "31.80" "31.94" "856861" "27368808" "851" "31.92" "111" "31.97" "34" "494881000" "31.95" "9999.95" "0.01"
"00863B" "中信全球電信債" "32.80" "+0.32" "32.85" "32.85" "32.79" "32.81" "102000" "3346140" "6" "32.77" "27" "32.80" "1" "480964000" "32.80" "9999.95" "0.01"
"00864B" "中信美國公債0-1" "41.22" "+0.04" "41.22" "41.23" "41.21" "41.22" "140000" "5770800" "8" "41.19" "3" "41.22" "1" "41722000" "41.22" "9999.95" "0.01"
"00867B" "新光A-BBB電信債" "32.03" "+0.28" "31.93" "32.03" "31.93" "31.94" "22000" "702660" "6" "31.91" "5" "32.07" "1" "487150000" "32.03" "9999.95" "0.01"
"00870B" "元大15年EM主權債" "29.95" "+0.07" "30.00" "30.00" "29.95" "29.97" "5000" "149850" "2" "29.95" "104" "30.12" "5" "426651000" "29.95" "9999.95" "0.01"
"00877" "復華中國5G" "10.05" "-0.10 " "10.14" "10.15" "10.04" "10.08" "781027" "7869360" "194" "10.05" "6" "10.06" "94" "344288000" "10.05" "9999.95" "0.01"
"00883B" "中信ESG投資級債" "31.64" "+0.32" "31.60" "31.64" "31.60" "31.61" "218557" "6908156" "593" "31.59" "10" "31.64" "17" "8258000" "31.64" "9999.95" "0.01"
"00884B" "中信低碳新興債" "30.81" "+0.27" "30.79" "30.81" "30.76" "30.81" "214141" "6596711" "10" "30.78" "2" "30.83" "3" "26440000" "30.81" "9999.95" "0.01"
"00886" "永豐美國科技" "20.81" "+0.09" "20.80" "20.82" "20.79" "20.80" "62567" "1301703" "38" "20.80" "100" "20.82" "104" "15451000" "20.81" "9999.95" "0.01"
"00887" "永豐中國科技50大" "14.11" "-0.14 " "14.25" "14.25" "14.11" "14.16" "186326" "2639272" "37" "14.12" "1" "14.13" "35" "17851000" "14.11" "9999.95" "0.01"
"00888" "永豐台灣ESG" "13.11" "-0.07 " "13.15" "13.15" "13.08" "13.10" "5069469" "66404154" "3372" "13.10" "86" "13.11" "1545" "650978000" "13.11" "14.42" "11.80"
"00890B" "凱基ESG BBB債15+" "33.26" "+0.24" "33.25" "33.27" "33.23" "33.25" "140150" "4659548" "54" "33.25" "1" "33.26" "49" "19764000" "33.26" "9999.95" "0.01"
"020001" "富邦存股雙十N" "7.91" "-0.05 " "7.96" "7.96" "7.91" "7.95" "4000" "31790" "2" "7.93" "100" "7.94" "100" "40000000" "7.91" "8.70" "7.12"
"02001B" "統一美國政府債N" "8.49" "+0.05" "8.49" "8.49" "8.49" "8.49" "2000" "16980" "1" "8.48" "378" "8.49" "303" "20000000" "8.49" "9999.95" "0.01"
"020023" "元大櫃買半導體N" "4.97" "+0.03" "4.94" "4.97" "4.93" "4.95" "73000" "361450" "11" "4.96" "400" "4.97" "400" "200000000" "4.97" "5.46" "4.48"
"020024" "兆豐富櫃200N" "5.58" "+0.03" "5.54" "5.58" "5.53" "5.56" "26000" "144630" "3" "5.58" "295" "5.59" "473" "40000000" "5.58" "6.13" "5.03"
"020025" "統一亞洲半導體N" "6.75" "+0.02" "6.74" "6.75" "6.74" "6.75" "31000" "209160" "5" "6.75" "391" "6.76" "298" "200000000" "6.75" "9999.95" "0.01"
"020026" "兆豐上櫃ESG電菁N" " ---" "--- " "---" "---" "---" "4.47" "0" "0" "0" "4.35" "321" "4.36" "303" "40000000" "4.35" "4.78" "3.92"
"020027" "元大上櫃ESG成長N" "4.32" "0.00 " "4.30" "4.32" "4.29" "4.31" "140000" "604030" "13" "4.32" "400" "4.33" "400" "400000000" "4.32" "4.75" "3.89"
"02002L" "兆豐富櫃200正二N" "5.34" "+0.07" "5.24" "5.34" "5.19" "5.24" "117000" "612830" "36" "5.33" "111" "5.34" "131" "40000000" "5.34" "6.40" "4.28"
"020033" "統一恒生科期N" "3.53" "+0.03" "3.53" "3.53" "3.53" "3.53" "2000" "7060" "1" "3.53" "418" "3.55" "405" "200000000" "3.53" "9999.95" "0.01"
"020035" "元大上櫃ESG高息N" "5.91" "+0.03" "5.88" "5.91" "5.88" "5.89" "21000" "123780" "5" "5.93" "400" "5.94" "400" "200000000" "5.91" "6.50" "5.32"
"1240" "茂生農經" "45.10" "+0.30" "45.55" "45.55" "45.00" "45.19" "13321" "601995" "15" "44.90" "1" "45.10" "1" "38598194" "45.10" "49.60" "40.60"
"1258" "其祥-KY" "26.85" "+0.05" "26.85" "26.85" "26.80" "26.81" "94050" "2521444" "63" "26.80" "1665" "26.85" "99" "36819791" "26.85" "29.50" "24.20"
"1259" "安心" "75.10" "+0.10" "75.00" "75.10" "74.40" "74.80" "24678" "1845958" "38" "74.90" "1" "75.10" "1" "32389500" "75.10" "82.60" "67.60"
"1264" "德麥" "281.50" "-2.00 " "282.00" "282.00" "279.00" "280.98" "22843" "6418515" "349" "281.00" "2" "282.00" "1" "37064367" "281.50" "309.50" "253.50"
"1268" "漢來美食" "161.00" "+14.00" "151.00" "161.50" "150.00" "155.57" "1800651" "280124392" "1631" "160.00" "11" "161.00" "20" "42723730" "161.00" "177.00" "145.00"
"1336" "台翰" "24.95" "-0.40 " "25.50" "25.50" "24.80" "24.98" "430413" "10752846" "190" "24.90" "11" "24.95" "7" "78818419" "24.95" "27.40" "22.50"
"1565" "精華" "239.00" "+2.00" "236.50" "239.00" "234.00" "236.14" "111576" "26347524" "282" "238.50" "1" "239.50" "1" "50416516" "239.00" "262.50" "215.50"
"1569" "濱川" "22.50" "-0.65 " "22.55" "22.65" "21.80" "22.31" "766394" "17101746" "426" "22.50" "255" "22.55" "4" "121447441" "22.50" "24.75" "20.25"
"1570" "力肯" "18.40" "+0.20" "18.25" "18.45" "18.00" "18.27" "74062" "1352892" "46" "18.35" "8" "18.40" "7" "51500839" "18.40" "20.20" "16.60"
"1580" "新麥" "119.50" "0.00 " "119.00" "121.50" "118.00" "119.92" "695633" "83421964" "756" "119.00" "11" "119.50" "11" "50230242" "119.50" "131.00" "108.00"
"1584" "精剛" "36.20" "-0.40 " "36.00" "36.80" "35.50" "36.25" "5001660" "181292827" "3104" "36.20" "20" "36.30" "2" "152470533" "36.20" "39.80" "32.60"
"1586" "和勤" "34.40" "-0.10 " "34.40" "34.40" "33.95" "34.09" "76305" "2601473" "71" "34.15" "2" "34.40" "2" "85898813" "34.40" "37.80" "31.00"
"1591" "駿吉-KY" "27.75" "+0.50" "27.20" "28.30" "27.15" "27.80" "326687" "9081060" "186" "27.75" "5" "27.90" "6" "34798047" "27.75" "30.50" "25.00"
"1593" "祺驊" "74.70" "-2.90 " "77.50" "77.50" "74.70" "75.20" "47256" "3553886" "40" "74.60" "2" "75.30" "2" "37544256" "74.70" "82.10" "67.30"
