"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
="062707" "台積電國票1C購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="062739" "國產永豐18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="062873" "國喬永豐18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="062866" "聯詠兆豐1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="062989" "順德統一1C購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
"1453" "大將            " "0" "9000" "-9000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000"
"1503" "士電            " "4000" "11000" "-7000" "0" "0" "0" "0" "0" "0" "-2000" "0" "2000" "-2000" "1" "1" "0" "-9000"
"1597" "直得            " "9000" "17000" "-8000" "0" "0" "0" "0" "0" "0" "-1000" "0" "1000" "-1000" "0" "0" "0" "-9000"
"2109" "華豐            " "4000" "12000" "-8000" "0" "0" "0" "0" "0" "0" "-1000" "0" "1000" "-1000" "0" "0" "0" "-9000"
"2491" "吉祥全          " "11000" "20000" "-9000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000"
="047073" "健策群益14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="049557" "宏達電元大17購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "346000" "355000" "-9000" "-9000"
="047567" "威健元富14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="047629" "富采統一17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "105000" "114000" "-9000" "-9000"
="047294" "國產元富16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "18000" "27000" "-9000" "-9000"
="045756" "天鈺元大13購09  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="050244" "國巨凱基15購07  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="050357" "昇貿元大15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "7000" "16000" "-9000" "-9000"
="050327" "永光元大19購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "18000" "27000" "-9000" "-9000"
="047690" "台驊控元大14購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="050678" "欣興元大15購10  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="050608" "台表科康和15購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="050974" "元黃金群益17購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "21000" "30000" "-9000" "-9000"
="051292" "欣興凱基16購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "91000" "100000" "-9000" "-9000"
="048073" "技嘉凱基15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="050201" "長榮國票15購10  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "36000" "45000" "-9000" "-9000"
="050029" "欣興元大16購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "16000" "25000" "-9000" "-9000"
="057278" "奇鋐群益17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="052424" "嘉澤永豐15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "112000" "121000" "-9000" "-9000"
="052563" "長榮航元大16購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="053441" "長榮航元大15購22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="053559" "萬海凱基17購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "135000" "144000" "-9000" "-9000"
="053479" "佳凌國泰17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="053716" "聯發科國票16購06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "572000" "581000" "-9000" "-9000"
="054191" "東哥國票17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="054300" "聯電群益18購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "21000" "30000" "-9000" "-9000"
="053935" "臺股指元大15購53" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "3000" "12000" "-9000" "-9000"
="055525" "東鋼康和16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "8000" "17000" "-9000" "-9000"
="054776" "富邦金元大16購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="054763" "華邦電元大16購07" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "10000" "19000" "-9000" "-9000"
="054698" "萬海群益16購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "18000" "27000" "-9000" "-9000"
="054612" "群創元大1C購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="054342" "聯發科元大18購07" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="056297" "欣興康和16購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "7000" "16000" "-9000" "-9000"
="056515" "順德群益16購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="056169" "嘉澤凱基17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="056011" "東鋼群益16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="055809" "乙盛群益16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="061715" "台達電元大17購07" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "31000" "40000" "-9000" "-9000"
="061462" "台表科統一19購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="061606" "愛普國泰19購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "40000" "49000" "-9000" "-9000"
="061382" "新唐永豐17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="061139" "盛餘凱基17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="061114" "世芯中信18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "90000" "99000" "-9000" "-9000"
="061109" "欣興國泰19購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "885000" "894000" "-9000" "-9000"
="060195" "大眾控元富17購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="059768" "中磊國泰19購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "107000" "116000" "-9000" "-9000"
="059056" "中環中信17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "11000" "20000" "-9000" "-9000"
="059497" "長榮元富18購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="058604" "安普新國票18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="058607" "文曄元富17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="057647" "菱生永豐16購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="057673" "大亞凱基16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "38000" "47000" "-9000" "-9000"
="057757" "揚明光統一18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
="057844" "晶豪科中信18購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "1000" "10000" "-9000" "-9000"
="058316" "國巨國票17購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "126000" "135000" "-9000" "-9000"
="058439" "臻鼎元大1B購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000" "0" "0" "0" "0" "9000" "-9000" "-9000"
"2739" "寒舍            " "6000" "15000" "-9000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000"
"3679" "新至陞          " "2000" "11000" "-9000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000"
"6152" "百一            " "57000" "66000" "-9000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000"
"6165" "浪凡            " "39000" "48000" "-9000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9000"
"3022" "威強電          " "49000" "58000" "-9000" "0" "0" "0" "0" "0" "0" "-200" "0" "200" "-200" "0" "0" "0" "-9200"
"2369" "菱生            " "799000" "804000" "-5000" "0" "0" "0" "0" "0" "0" "-4764" "0" "0" "0" "2000" "6764" "-4764" "-9764"
"1451" "年興            " "4028" "14000" "-9972" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-9972"
="049303" "惠特永豐14購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049213" "聯電凱基18購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049235" "亞聚元大16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049244" "聯電元大14購16  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049139" "光寶科兆豐16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "47000" "57000" "-10000" "-10000"
="049586" "飛宏國票14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049463" "威盛國泰16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049407" "強茂第一1B購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="047489" "彩晶群益14購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="047470" "力麗群益14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="045936" "新光金國泰15購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="045981" "晶豪科元富19購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="048553" "萬海統一15購08  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04251P" "宏達電元富1B售10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="042606" "嘉澤凱基13購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="040967" "台光電統一14購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="042215" "聯發科元大16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04214P" "SGBR2X群益18售04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "10000" "20000" "-10000" "-10000"
="042885" "台達電國票13購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="042928" "玉晶光元富15購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="043154" "國巨國票14購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "1000" "11000" "-10000" "-10000"
="043163" "愛普國票13購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="042756" "華邦電元大13購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "10000" "20000" "-10000" "-10000"
="042837" "道瓊反第一18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="042839" "中鋼凱基13購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="042793" "慧洋國泰14購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="042639" "偉詮電元大14購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049522" "宏達電凱基14購05" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049482" "順德統一15購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="043569" "聯發科富邦18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="043335" "鴻準國泰14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04320P" "台達電群益18售03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04317P" "臺股指元大18售13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="043180" "技嘉元大14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="048967" "貿聯國票15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049007" "臺股指永豐14購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049002" "潤泰全永豐14購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049082" "臺股指凱基17購06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="049106" "光罩元大18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "5000" "15000" "-10000" "-10000"
="049052" "臺股指群益15購14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="048929" "燁興元大15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="048872" "祥碩凱基15購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="040456" "新唐兆豐13購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04047P" "華邦電群益17售03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04041P" "台積電元大17售43" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="040231" "聯詠兆豐13購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="039436" "正文元大14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="038743" "光罩元富14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="038789" "聯電群益14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="038826" "界霖元大14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="044164" "AES群益15購01   " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03900P" "緯穎國票18售01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="041996" "景碩國泰14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04197P" "台積電群益18售10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="044230" "聯電國泰15購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="041886" "光罩統一15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="044028" "凌陽元大14購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03672P" "聯發科中信17售04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "6000" "16000" "-10000" "-10000"
="03713P" "臺股指中信1A售10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03738P" "臺股指群益17售13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="037350" "緯穎兆豐13購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="034793" "T50反1中信13購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03483P" "光罩元大16售03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03511P" "聯電元富16售06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "68000" "78000" "-10000" "-10000"
="03530P" "康普國票17售03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="043933" "台積電元大13購26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="04387P" "景碩國票19售02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="043868" "台積電統一13購11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="043922" "天鈺國票16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="041085" "景碩元富15購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03033X" "元展30          " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03002P" "光罩元富18售02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03047P" "臺股指凱基18售06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "20000" "30000" "-10000" "-10000"
="03076P" "南電元大15售08  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="00706L" "期元大S&P日圓正2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "44000" "54000" "-10000" "-10000"
="03762P" "T50正2元大1A售03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="037513" "威鋒電群益14購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03285P" "威盛國票16售02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="03180P" "臺股指中信19售11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="037843" "台灣50富邦13購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="037814" "臺股指元大13購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "100000" "110000" "-10000" "-10000"
="03470P" "新光金凱基16售04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
"2227" "裕日車          " "6000" "15000" "-9000" "0" "0" "0" "2000" "0" "2000" "-3000" "1000" "4000" "-3000" "0" "0" "0" "-10000"
="063057" "台積電元大18購24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "998000" "1008000" "-10000" "-10000"
="062862" "國產兆豐18購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062882" "強茂永豐19購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062889" "富采永豐18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062952" "台積電凱基1A購11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062941" "台積電麥證18購03" "0" "0" "0" "0" "10000" "-10000" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062839" "精成科富邦1B購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062371" "萬海統一1A購08  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062341" "和鑫群益19購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="062241" "鴻海群益18購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="063693" "天鈺國票1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "22000" "32000" "-10000" "-10000"
="063517" "東鋼元大18購07  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="063772" "長榮航元大1C購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "31000" "41000" "-10000" "-10000"
="063985" "玉晶光群益19購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "192000" "202000" "-10000" "-10000"
="063947" "義隆凱基19購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "20000" "30000" "-10000" "-10000"
="063458" "長榮航群益1B購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "4000" "14000" "-10000" "-10000"
="063130" "萬海國票19購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "2000" "12000" "-10000" "-10000"
="063120" "台灣50兆豐1A購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="063232" "TPK富邦1C購01   " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="064123" "東鋼凱基1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "65000" "75000" "-10000" "-10000"
="064167" "臺股指富邦18購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
="064228" "臺股指元大18購16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "10000" "20000" "-10000" "-10000"
="064223" "愛普元大18購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "10000" "20000" "-10000" "-10000"
="064268" "欣興群益19購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "17000" "27000" "-10000" "-10000"
="064397" "聯電國票1A購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "62000" "72000" "-10000" "-10000"
="064403" "裕民國票19購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "-10000" "0" "0" "0" "0" "10000" "-10000" "-10000"
