"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
="043786" "聯陽元大13購07  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1660000" "0" "0" "0" "1672000" "12000" "1660000" "1660000"
="00895" "富邦未來車      " "4623000" "629260" "3993740" "0" "0" "0" "0" "0" "0" "-2348754" "0" "0" "0" "2854000" "5202754" "-2348754" "1644986"
"3209" "全科            " "2055000" "433000" "1622000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1622000"
"6271" "同欣電          " "2037450" "1101000" "936450" "0" "0" "0" "526000" "0" "526000" "149330" "186450" "124120" "62330" "92000" "5000" "87000" "1611780"
="045196" "南茂凱基18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1608000" "0" "0" "0" "1643000" "35000" "1608000" "1608000"
"2442" "新美齊          " "2070000" "501000" "1569000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1569000"
"3048" "益登            " "1860000" "299000" "1561000" "0" "0" "0" "0" "0" "0" "916" "11916" "11000" "916" "0" "0" "0" "1561916"
"2636" "台驊投控        " "2223000" "696000" "1527000" "0" "0" "0" "0" "0" "0" "30298" "3301" "5003" "-1702" "66000" "34000" "32000" "1557298"
="03060P" "臺股指凱基16售12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1508000" "0" "0" "0" "1529000" "21000" "1508000" "1508000"
"9188" "精熙-DR         " "1492000" "0" "1492000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1492000"
="042486" "晶技元大13購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1491000" "0" "0" "0" "1491000" "0" "1491000" "1491000"
"2542" "興富發          " "2788000" "1083000" "1705000" "0" "0" "0" "221000" "0" "221000" "-461000" "36000" "270000" "-234000" "72000" "299000" "-227000" "1465000"
="049250" "台積電元大16購09" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1464000" "0" "0" "0" "2241000" "777000" "1464000" "1464000"
